Library,Signal structure,Target oracle AUROC,Metric,Winning model,Winner count,"Winner proportion, %"
Heterogeneous core,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Gaussian naive Bayes,64,6.4
Heterogeneous core,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Histogram gradient boosting,131,13.1
Heterogeneous core,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Linear SVM,178,17.8
Heterogeneous core,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Logistic regression,189,18.9
Heterogeneous core,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Random forest,303,30.3
Heterogeneous core,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),RBF SVM,48,4.8
Heterogeneous core,Single linear signal,0.7,AUROC,Decision tree,1,0.1
Heterogeneous core,Single linear signal,0.7,AUROC,Gaussian naive Bayes,34,3.4
Heterogeneous core,Single linear signal,0.7,AUROC,Histogram gradient boosting,117,11.7
Heterogeneous core,Single linear signal,0.7,AUROC,Linear SVM,360,36
Heterogeneous core,Single linear signal,0.7,AUROC,Logistic regression,327,32.7
Heterogeneous core,Single linear signal,0.7,AUROC,Random forest,120,12
Heterogeneous core,Single linear signal,0.7,AUROC,RBF SVM,41,4.1
Heterogeneous core,XOR interaction signal,0.5,Average precision,Decision tree,117,11.7
Heterogeneous core,XOR interaction signal,0.5,Average precision,Gaussian naive Bayes,146,14.6
Heterogeneous core,XOR interaction signal,0.5,Average precision,Histogram gradient boosting,166,16.6
Heterogeneous core,XOR interaction signal,0.5,Average precision,Linear SVM,100,10
Heterogeneous core,XOR interaction signal,0.5,Average precision,Logistic regression,84,8.4
Heterogeneous core,XOR interaction signal,0.5,Average precision,Random forest,199,19.9
Heterogeneous core,XOR interaction signal,0.5,Average precision,RBF SVM,188,18.8
Heterogeneous core,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Decision tree,203,20.3
Heterogeneous core,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Gaussian naive Bayes,141,14.1
