bootstrap_replication,delta_tess,tess_promising,tess_matched_random,pi_promising,pi_matched_random,pi_base,pi_full,activation_rate,cov_activation_increment,trigger_threshold,trigger_tie_probability,incremental_gain_rate,reverse_transition_rate,reference_unique_repetitions,evaluation_unique_repetitions
12044,0.7671943864536122,6.344945748264725,5.577751361811113,0.2778,0.24881344,0.1876,0.3092,0.5034,0.02898656000000001,0.5287333333333333,1.0,0.1228,0.0012,3142.0,3169.0
12045,0.8471181837767672,6.848089175958784,6.000970992182017,0.2962,0.26494472,0.2,0.3284,0.5058,0.031255279999999996,0.5283444444444444,1.0,0.13,0.0016,3143.0,3151.0
12046,0.7596916807386922,6.562110073855653,5.802418393116961,0.2858,0.25742036,0.2008,0.315,0.4958,0.028379640000000005,0.5287111111111111,0.5,0.1164,0.0022,3172.0,3166.0
12047,0.6488786232410826,6.825941231803179,6.177062608562096,0.2954,0.27155408000000003,0.2156,0.3248,0.5124,0.02384592,0.5280444444444444,1.0,0.1124,0.0032,3163.0,3200.0
12048,0.7305449992951463,6.737600210655481,6.007055211360335,0.2922,0.26517408,0.2078,0.322,0.5024,0.02702592000000001,0.5285444444444444,1.0,0.1154,0.0012,3175.0,3153.0
12049,0.6180942773440155,6.436945179970145,5.81885090262613,0.2812,0.258046,0.2032,0.3132,0.4986,0.023154,0.5287222222222222,0.3333333333333333,0.1122,0.0022,3157.0,3165.0
12050,0.7426100745670006,6.666116719287314,5.923506644720313,0.2896,0.26201824,0.2036,0.321,0.4976,0.02758175999999999,0.5287444444444445,1.0,0.12,0.0026,3177.0,3176.0
12051,0.9127125967344485,6.638692708932933,5.725980112198484,0.2886,0.25450316,0.1916,0.3194,0.4922,0.03409684,0.528988888888889,1.0,0.1284,0.0006,3127.0,3170.0
12052,0.8425306464954527,6.837012058759519,5.994481412264066,0.2958,0.2647,0.2034,0.326,0.5,0.031099999999999996,0.5284555555555556,0.5,0.125,0.0024,3159.0,3186.0
12053,0.8577245676939391,6.545738574716212,5.6880140070222724,0.2852,0.25304996,0.1966,0.3128,0.4858,0.03215004,0.5291944444444445,1.0,0.1184,0.0022,3178.0,3178.0
12054,0.8186917579619912,6.964780486480078,6.1460887285180865,0.3004,0.27039584,0.2036,0.3332,0.5154,0.030004160000000002,0.5281222222222223,1.0,0.1318,0.0022,3192.0,3179.0
12055,0.8450731745014526,6.820408174934417,5.975335000432964,0.2952,0.26397751999999997,0.2004,0.3272,0.5014,0.031222479999999997,0.5283555555555556,0.5,0.1282,0.0014,3171.0,3145.0
12056,0.8261281599050463,6.638692708932933,5.812564549027886,0.2886,0.25780672,0.1966,0.3202,0.4952,0.03079328,0.5285722222222222,1.0,0.1244,0.0008,3144.0,3184.0
12057,0.8196318183669655,6.5293808119781644,5.709748993611199,0.2846,0.25388224,0.1948,0.3124,0.5024,0.03071776000000001,0.5286333333333333,1.0,0.1188,0.0012,3191.0,3146.0
12058,0.7330603884263827,6.600363787663217,5.867303399236834,0.2872,0.25988768,0.2016,0.3158,0.5104,0.02731232,0.5283055555555556,1.0,0.115,0.0008,3155.0,3179.0
12059,0.7346070689034434,6.655142485534986,5.920535416631543,0.2892,0.26190576,0.2006,0.3244,0.4952,0.027294240000000004,0.5289222222222222,0.6666666666666666,0.1266,0.0028,3156.0,3175.0
12060,0.7160391487200259,6.469519499572106,5.75348035085208,0.2824,0.255554,0.1962,0.3142,0.503,0.026846000000000002,0.5281,0.6666666666666666,0.1186,0.0006,3145.0,3141.0
12061,0.8067218146938435,6.671606153575651,5.864884338881807,0.2898,0.25979584,0.1998,0.3196,0.5008,0.030004159999999995,0.5289888888888888,0.5,0.1216,0.0018,3183.0,3176.0
12062,0.7095161245034873,6.7265856760426,6.017069551539112,0.2918,0.26555143999999997,0.2042,0.3254,0.5062,0.026248559999999997,0.5286333333333333,0.5,0.1236,0.0024,3195.0,3156.0
12063,0.7645203982267281,6.274885013653685,5.5103646154269565,0.2752,0.24621247999999998,0.1934,0.3018,0.4872,0.028987519999999996,0.5285222222222222,1.0,0.11,0.0016,3148.0,3147.0
12064,0.7490400141210891,6.600363787663217,5.851323773542128,0.2872,0.2592808,0.1982,0.3192,0.5048,0.02791919999999999,0.5285111111111112,0.5,0.122,0.001,3187.0,3185.0
12065,0.7416648224748572,6.6441744257541515,5.902509603279294,0.2888,0.26122300000000004,0.1952,0.3234,0.515,0.02757699999999999,0.5283944444444444,0.5,0.13,0.0018,3122.0,3149.0
12066,0.7530041514769019,6.562110073855653,5.809105922378751,0.2858,0.25767503999999997,0.1972,0.317,0.5048,0.02812495999999999,0.5284555555555556,0.5,0.1222,0.0024,3167.0,3163.0
12067,0.8591419056962337,6.886908725187448,6.027766819491214,0.2976,0.26595431999999997,0.2052,0.324,0.5114,0.031645679999999995,0.5283333333333333,1.0,0.12,0.0012,3146.0,3171.0
12068,0.8592608885073707,6.776200161102284,5.916939272594913,0.2936,0.2617696,0.2026,0.32,0.504,0.031830399999999995,0.5285722222222222,0.5,0.1186,0.0012,3202.0,3184.0
12069,0.8443185244643789,6.556651379784929,5.71233285532055,0.2856,0.25398112,0.1876,0.3172,0.5122,0.03161888,0.5280833333333333,0.2,0.1308,0.0012,3141.0,3141.0
12070,0.6868028901274776,6.942499654630696,6.255696764503218,0.2996,0.27448627999999997,0.2098,0.3332,0.5242,0.025113720000000006,0.5279888888888888,1.0,0.1244,0.001,3199.0,3148.0
