library,mapping_status,alpha,candidate_order,candidate,trigger_threshold,regular_quantile_threshold,regular_quantile_index_zero_based,plus_one_threshold,plus_one_index_zero_based,plus_one_attainable,plus_one_minus_regular_threshold,candidate_minus_trigger_gap,absolute_gap,exact_coincidence,candidate_threshold_tie_count,candidate_threshold_tie_mass,candidate_lower_spacing,candidate_upper_spacing,trigger_lower_spacing,trigger_upper_spacing,gap_in_local_score_spacings,regularity_classification
high_dependency_linear_20,historical_surrogate_20_candidate,0.005,2,logreg_l2_c01,0.5118555555555555,0.5768666666666666,9949,0.5769888888888889,9950,True,0.00012222222222224577,0.06501111111111113,0.06501111111111113,False,1,0.0001,0.0002555555555555644,0.00012222222222224577,1.111111111107288e-05,1.1102230246251565e-16,585568031549884.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.005,3,logreg_l2_c1,0.5118555555555555,0.5763111111111111,9949,0.5765,9950,True,0.0001888888888889051,0.0644555555555556,0.0644555555555556,False,1,0.0001,0.00021111111111105085,0.0001888888888889051,1.111111111107288e-05,1.1102230246251565e-16,580564031963917.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.005,4,logreg_l2_c10,0.5118555555555555,0.5762111111111111,9949,0.5762555555555555,9950,True,4.444444444440254e-05,0.06435555555555561,0.06435555555555561,False,1,0.0001,1.1102230246251565e-16,4.444444444440254e-05,1.111111111107288e-05,1.1102230246251565e-16,579663312038443.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.005,5,logreg_l1_c01,0.5118555555555555,0.5758222222222222,9949,0.5760222222222222,9950,True,0.00019999999999997797,0.06396666666666673,0.06396666666666673,False,1,0.0001,0.0002555555555555644,0.00019999999999997797,1.111111111107288e-05,1.1102230246251565e-16,576160512328266.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.005,6,elastic_net_logreg,0.5118555555555555,0.5759666666666666,9949,0.5759777777777777,9950,True,1.111111111107288e-05,0.06411111111111112,0.06411111111111112,False,1,0.0001,4.444444444440254e-05,1.111111111107288e-05,1.111111111107288e-05,1.1102230246251565e-16,577461552220617.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.005,7,linear_svm_c1,0.5118555555555555,0.5753666666666667,9949,0.5761555555555555,9950,True,0.000788888888888839,0.06351111111111118,0.06351111111111118,False,1,0.0001,9.999999999998899e-05,0.000788888888888839,1.111111111107288e-05,1.1102230246251565e-16,572057232667773.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.2,1,logistic_regression,0.5283444444444445,0.5254888888888889,7999,0.5255111111111112,8000,True,2.2222222222256782e-05,-0.002855555555555611,0.002855555555555611,False,1,0.0001,1.1111111111183902e-05,2.2222222222256782e-05,1.1102230246251565e-16,5.555555555480929e-06,25720557871872.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.2,2,linear_svm,0.5283444444444445,0.5256,7999,0.5256111111111111,8000,True,1.1111111111183902e-05,-0.0027444444444445493,0.0027444444444445493,False,1,0.0001,1.111111111107288e-05,1.1111111111183902e-05,1.1102230246251565e-16,5.555555555480929e-06,24719757954679.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.2,3,rbf_svm,0.5283444444444445,0.5258222222222223,7999,0.5258333333333334,8000,True,1.111111111107288e-05,-0.0025222222222222035,0.0025222222222222035,False,1,0.0001,1.1102230246251565e-16,1.111111111107288e-05,1.1102230246251565e-16,5.555555555480929e-06,22718158120291.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.2,4,gaussian_nb,0.5283444444444445,0.5261666666666667,7999,0.5261777777777777,8000,True,1.111111111107288e-05,-0.002177777777777834,0.002177777777777834,False,2,0.0002,1.111111111107288e-05,1.111111111107288e-05,1.1102230246251565e-16,5.555555555480929e-06,19615678376992.0,empirically_separated
