model,error,roc_auc,average_precision,pauc_fpr_0_10,mannwhitney_p,replication,seed
hist_gradient_boosting,,0.7339341039553354,0.46181771104698593,0.566729988453086,4.5052407888172575e-52,24,1590281819
logistic_regression,,0.7371172446331683,0.47253203461134735,0.5699747126722208,1.924725908458009e-53,25,836769115
linear_svm,,0.7356137453801997,0.47258433099881125,0.5716384615702975,8.579131914203617e-53,25,836769115
rbf_svm,,0.6680003145395927,0.4186787660133507,0.5573186327460549,7.852725587664855e-28,25,836769115
gaussian_nb,,0.7232271762208069,0.4294322916175859,0.5528571369447445,1.3336997196854324e-47,25,836769115
decision_tree,,0.6173012502948808,0.34733737895478156,0.5347969771089672,4.685591906235147e-17,25,836769115
random_forest,,0.7308673429267908,0.4695833127183302,0.5675411695078697,9.029126136226961e-51,25,836769115
hist_gradient_boosting,,0.7233844460171424,0.4427758597198471,0.5570040931533836,1.1504885370714882e-47,25,836769115
logistic_regression,,0.7343728866871119,0.46203795644769596,0.5697181145834627,2.9244869782353107e-52,26,935260516
linear_svm,,0.7330062121569553,0.46476844601676387,0.57134047669303,1.120552656358069e-51,26,935260516
rbf_svm,,0.6534041047416843,0.39812901745726487,0.550655359796046,1.5845265841763485e-23,26,935260516
gaussian_nb,,0.7214956357631517,0.4329642679397516,0.5490412750441804,6.740203256556443e-47,26,935260516
decision_tree,,0.6045608240937328,0.3344603463080059,0.5275537143033201,7.132407745550487e-14,26,935260516
random_forest,,0.705689234882441,0.4441203147571811,0.5613248738737621,1.0018216655197962e-40,26,935260516
hist_gradient_boosting,,0.7256758669497523,0.45539655719018285,0.5669700318264403,1.3205732400206335e-48,26,935260516
logistic_regression,,0.7372383423763467,0.48103327824604936,0.5768531969224784,1.7057356310240148e-53,27,3044832985
