replication,seed,roc_auc,average_precision,pauc_fpr_0_10
179,2237660090,0.7344609577730596,0.4679857236458532,0.5707776163693026
180,2569284969,0.7351702445545334,0.4726131656251681,0.5757688630635329
181,3815396752,0.733592828497287,0.4754991557839979,0.5726069124214168
182,2237183614,0.7422678304631595,0.4809625105250783,0.5773829478153983
183,3254839350,0.7328819690178501,0.4808322833785486,0.5782520703740952
184,642661475,0.7384414563183141,0.48048653861328483,0.5740140632307354
185,2952272912,0.7436738224423999,0.48145581046837876,0.5744858726197424
186,4181918824,0.7430683337265078,0.47617839359501357,0.5727807369331562
187,3080965017,0.7357096799559646,0.48271665267155295,0.5723834237634662
188,482085559,0.7394149563576314,0.4708322181345272,0.571017659742657
189,1556797813,0.7388393489030433,0.47489586823597285,0.5758350819251479
190,577830362,0.7444224266729575,0.47225891260730457,0.5683026864164422
191,1132602263,0.7429802626405599,0.47854168452520934,0.5725241388443981
192,2790867745,0.731362742785248,0.462116095633347,0.5714646370585582
193,1423402176,0.738097035464339,0.4734642420188663,0.575106674447383
194,1807686006,0.7371581347802155,0.4667900045596627,0.5701402598262583
195,945497333,0.7445875599591099,0.477269662162943,0.5711004333196757
196,2764545561,0.7406337972792325,0.48292066294666613,0.5760089064368872
197,572709107,0.7341102461272313,0.4673093733153102,0.575297053674526
198,385146068,0.7379696469293072,0.4856268671878987,0.5806938908961481
199,3362730764,0.7429425178894393,0.4755997530825971,0.5710838786042719
200,1578368121,0.7360619642997562,0.47394379558670574,0.5774657213924171
201,219407413,0.7467877644098452,0.47587260754754224,0.5724827520558887
202,1714589603,0.7394873004639458,0.47100003102570925,0.5751480612358922
203,4226885932,0.7365322009907997,0.4739188191475875,0.5756612574134085
204,3244192700,0.7353054965793819,0.47059320400273263,0.5771511817997459
205,3825044283,0.7472988912479358,0.4728478441654111,0.5740140632307354
206,1582763680,0.7403082488008179,0.4765373288874359,0.5701402598262583
207,2285987360,0.7377148698592435,0.47776886117826,0.5757357536327253
208,523893878,0.7363985216639144,0.47346016502187477,0.5708603899463214
209,119797004,0.7501218840921601,0.4770914407407827,0.5736581368495549
210,3239549520,0.7428387198238577,0.4784362120402693,0.5743948216850217
211,3767118317,0.7405976252260753,0.48728974338520226,0.5811325908543474
212,1878324217,0.7424707085004324,0.4739396646998732,0.5726979633561374
213,3131826121,0.7419281277030747,0.48497186978028073,0.5790632514288788
214,3216003414,0.7444963434772351,0.47433065548994835,0.573517421768623
215,3690485476,0.7445057796650153,0.476069781257007,0.5710093823849551
216,3947299676,0.738302272548557,0.4651771499843589,0.5731697727451442
217,1981977386,0.7355193835023982,0.4711630264900558,0.5758599139982534
218,94466915,0.7353306597467957,0.4584442482442755,0.5735008670532193
219,1161569601,0.7444931980813085,0.4776518942689154,0.5769939120034103
220,2908981354,0.7346905716757097,0.47010306411333214,0.5710673238888682
221,3707339406,0.7401556970983723,0.4735601157245086,0.5753467178207372
222,1270181659,0.7443375009829363,0.48444064666038106,0.577738874196579
223,3465446302,0.743810647165212,0.4786176375402962,0.5770104667188141
224,3316198573,0.744181803884564,0.4906657193179496,0.583996556619196
225,1730384249,0.7420838248014469,0.4892965006686794,0.5821175964208705
226,3431653577,0.7451521585279548,0.4872809968512144,0.577076685580429
227,1941289302,0.732779743650232,0.4598645287849028,0.5699084938106058
