library,policy,replication,best_model,best_selection_metric,p_value,winner_model,winner_selection_roc_auc,naive_empirical_p_value,model_match,score_abs_diff,p_abs_diff,decision_mismatch_alpha_0.2,decision_mismatch_alpha_0.1,decision_mismatch_alpha_0.05,decision_mismatch_alpha_0.025,decision_mismatch_alpha_0.01,decision_mismatch_alpha_0.005
high_dependency_linear_20,fixed_base,2830,linear_svm_c1,0.4855,0.6958608278344331,linear_svm_c1,0.4855,0.6960607878424315,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2925,logreg_l2_c003,0.497,0.5390921815636872,logreg_l2_c003,0.497,0.5392921415716857,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2941,logreg_l1_c01,0.4830222222222222,0.7182563487302539,logreg_l1_c01,0.4830222222222222,0.7184563087382524,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2948,logreg_l1_c01,0.4995333333333333,0.5212957408518296,logreg_l1_c01,0.4995333333333333,0.521495700859828,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3114,logreg_l2_c003,0.4834444444444444,0.7144571085782844,logreg_l2_c003,0.4834444444444444,0.7146570685862828,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3120,logreg_l2_c10,0.4816111111111111,0.7336532693461307,logreg_l2_c10,0.4816111111111111,0.7338532293541292,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3172,logreg_l2_c003,0.4982444444444444,0.5226954609078185,logreg_l2_c003,0.4982444444444444,0.5228954209158169,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3184,logreg_l1_c01,0.4947555555555555,0.5788842231553689,logreg_l1_c01,0.4947555555555555,0.5790841831633673,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3198,linear_svm_c1,0.4979222222222222,0.5292941411717657,linear_svm_c1,0.4979222222222222,0.529494101179764,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3203,logreg_l1_c01,0.4883333333333333,0.6552689462107578,logreg_l1_c01,0.4883333333333333,0.6554689062187562,True,0.0,0.00019996000799837876,False,False,False,False,False,False
