scale,dgp,alpha,trigger_regime,reference_size,evaluation_size,bridge_rms_to_empirical_sd,sqrt_B_scaled_bridge_ratio,strict_sign_reversal_frequency,locked_threshold,locked_threshold_fail
delta_s,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,5000,0.1613357426474798,8.836722557987294,0.0,0.15,True
delta_s,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,5000,5000,0.1118065036300849,7.905913689759138,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,1000,1000,0.0894319279059654,2.8280858772282342,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,3000,0.0520346985847848,2.850057818786878,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,5000,0.0518544273412491,2.840183956131477,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,5000,5000,0.038185527044212,2.7001245116144608,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,1000,1000,0.1858027223260712,5.875597980102035,0.0,0.15,True
delta_s,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,3000,0.1045459995420165,5.726220224608721,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,5000,0.1199247716122035,6.568550261565904,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,5000,5000,0.0811706107439396,5.739628929009332,0.0,0.15,False
